steamfriend1,steamfriend2,relationship,friend_since
76561197960265731,76561197960435530,friend,
76561197960265738,76561197960435530,friend,
76561197960265740,76561197960435530,friend,
76561197960265747,76561197960435530,friend,
76561197960265749,76561197960435530,friend,
76561197960268093,76561197960435530,friend,Fri Aug 28 00:20:22 2009
76561197960269040,76561197960435530,friend,Wed Jul 15 00:33:45 2015
76561197960270258,76561197960435530,friend,
76561197960270457,76561197960435530,friend,Mon Nov  2 01:12:14 2009
76561197960271661,76561197960435530,friend,Wed Jan 25 23:33:25 2012
76561197960273963,76561197960435530,friend,
76561197960274006,76561197960435530,friend,
76561197960274521,76561197960435530,friend,Fri Sep  3 00:06:27 2010
76561197960279106,76561197960435530,friend,Mon Sep 14 00:32:58 2009
76561197960282696,76561197960435530,friend,
76561197960282709,76561197960435530,friend,
76561197960299622,76561197960435530,friend,
76561197960304647,76561197960435530,friend,
76561197960317684,76561197960435530,friend,Wed Sep  2 00:21:47 2009
76561197960323774,76561197960435530,friend,
76561197960333589,76561197960435530,friend,
76561197960359661,76561197960435530,friend,
76561197960389850,76561197960435530,friend,Tue Jan 31 01:46:04 2012
76561197960392503,76561197960435530,friend,Tue Apr 16 02:04:32 2013
76561197960411603,76561197960435530,friend,Fri Sep  7 00:24:33 2012
76561197960423941,76561197960435530,friend,
76561197960434622,76561197960435530,friend,Sun Jul 11 16:25:49 2010
76561197960435530,76561197960491601,friend,Mon Dec 29 02:50:28 2008
76561197960435530,76561197960505737,friend,Wed Jan 25 23:33:45 2012
76561197960435530,76561197960508417,friend,Thu Feb 24 12:40:05 2011
76561197960435530,76561197960522471,friend,Mon Dec 29 02:50:24 2008
76561197960435530,76561197960529298,friend,Tue Jan 21 23:54:12 2014
76561197960435530,76561197960549564,friend,
76561197960435530,76561197960563532,friend,
76561197960435530,76561197960568847,friend,Thu Mar 29 23:55:35 2012
76561197960435530,76561197960575737,friend,Sat Mar 10 23:31:32 2012
76561197960435530,76561197960691398,friend,Thu Mar 29 23:55:37 2012
76561197960435530,76561197960789988,friend,
76561197960435530,76561197960860649,friend,
76561197960435530,76561197960879472,friend,Sat Mar 10 23:32:02 2012
76561197960435530,76561197961004348,friend,Fri Jan 30 23:42:21 2009
76561197960435530,76561197961016107,friend,Tue Mar  8 00:12:44 2011
76561197960435530,76561197961048326,friend,Wed May 11 00:29:11 2011
76561197960435530,76561197961301890,friend,
76561197960435530,76561197961302949,friend,
76561197960435530,76561197961456983,friend,Wed Jul 15 01:04:10 2015
76561197960435530,76561197961493110,friend,Thu Jul  5 22:40:14 2018
76561197960435530,76561197961513395,friend,
76561197960435530,76561197961567067,friend,Mon Aug  2 23:20:26 2010
76561197960435530,76561197961635855,friend,Wed May 11 00:29:12 2011
76561197960435530,76561197961697514,friend,Sun Feb  5 14:53:26 2012
76561197960435530,76561197961725694,friend,Wed Aug  5 00:38:04 2009
76561197960435530,76561197961903764,friend,Sat Mar 28 00:50:28 2009
76561197960435530,76561197961963491,friend,Mon Apr 30 11:38:21 2012
76561197960435530,76561197961987005,friend,Sat Dec 19 01:02:50 2009
76561197960435530,76561197962095245,friend,Tue Dec 22 02:12:34 2015
76561197960435530,76561197962205142,friend,Sat Jul  4 02:54:11 2009
76561197960435530,76561197962313932,friend,
76561197960435530,76561197962413930,friend,Fri Jan  8 17:56:44 2016
76561197960435530,76561197962783665,friend,
76561197960435530,76561197962833771,friend,Tue Jun 30 01:37:19 2009
76561197960435530,76561197962844216,friend,
76561197960435530,76561197963562041,friend,Tue Mar 15 16:21:41 2011
76561197960435530,76561197963585314,friend,
76561197960435530,76561197963687679,friend,Mon Aug 31 23:53:27 2009
76561197960435530,76561197964094017,friend,
76561197960435530,76561197964115159,friend,
76561197960435530,76561197964165126,friend,Tue Jan  5 01:22:38 2016
76561197960435530,76561197964770089,friend,Tue Jan  3 23:44:25 2012
76561197960435530,76561197964865846,friend,
76561197960435530,76561197965400579,friend,Fri Oct 27 16:39:34 2017
76561197960435530,76561197965532939,friend,Mon Oct 22 23:41:18 2012
76561197960435530,76561197965576021,friend,Wed Nov 18 07:56:33 2009
76561197960435530,76561197965640811,friend,Fri Feb 26 22:08:02 2010
76561197960435530,76561197965656609,friend,Sun Sep  9 14:07:45 2012
76561197960435530,76561197965686610,friend,Sat Jul 30 00:45:26 2011
76561197960435530,76561197966056073,friend,Mon Feb 16 14:03:22 2009
76561197960435530,76561197966089529,friend,Fri Sep 21 00:11:48 2012
76561197960435530,76561197966106312,friend,
76561197960435530,76561197966109336,friend,Wed Sep 15 00:26:55 2010
76561197960435530,76561197966589084,friend,
76561197960435530,76561197966591880,friend,Thu Aug 26 02:10:48 2010
76561197960435530,76561197966652320,friend,
76561197960435530,76561197967027289,friend,
76561197960435530,76561197967346751,friend,Tue Dec 23 17:00:25 2014
76561197960435530,76561197967377359,friend,Tue Jul 30 23:39:25 2013
76561197960435530,76561197967454254,friend,
76561197960435530,76561197967649865,friend,
76561197960435530,76561197967757010,friend,Thu Aug 11 02:17:23 2011
76561197960435530,76561197967823929,friend,Wed Mar 10 06:59:38 2010
76561197960435530,76561197968282875,friend,
76561197960435530,76561197968304048,friend,
76561197960435530,76561197968343660,friend,
76561197960435530,76561197968403639,friend,Wed May 19 01:16:19 2010
76561197960435530,76561197968411673,friend,Sun Nov 15 18:18:40 2009
76561197960435530,76561197968452293,friend,
76561197960435530,76561197968459473,friend,Mon Oct 11 23:45:42 2010
76561197960435530,76561197968493120,friend,Sat Oct  8 14:15:46 2011
76561197960435530,76561197968499581,friend,Wed Feb 23 23:44:02 2011
76561197960435530,76561197968575517,friend,Sun Aug 29 23:48:57 2010
76561197960435530,76561197968662512,friend,Fri May 22 23:14:02 2009
76561197960435530,76561197968887855,friend,
76561197960435530,76561197969013812,friend,Thu Nov  3 14:28:18 2011
76561197960435530,76561197969044631,friend,Fri Sep  3 00:03:16 2010
76561197960435530,76561197969204208,friend,
76561197960435530,76561197969221324,friend,Fri Dec 18 01:56:57 2009
76561197960435530,76561197969266938,friend,Fri Sep 24 23:24:10 2010
76561197960435530,76561197969363440,friend,
76561197960435530,76561197969363506,friend,
76561197960435530,76561197969389470,friend,
76561197960435530,76561197969400141,friend,
76561197960435530,76561197969420896,friend,Mon Oct 11 23:45:59 2010
76561197960435530,76561197969518075,friend,Thu Oct 14 21:03:37 2010
76561197960435530,76561197969593376,friend,Mon Aug 31 23:53:54 2009
76561197960435530,76561197970125572,friend,
76561197960435530,76561197970166754,friend,Fri Sep  3 00:02:19 2010
76561197960435530,76561197970188759,friend,Sun Nov 15 13:50:40 2009
76561197960435530,76561197970280218,friend,Thu Oct  8 01:12:27 2009
76561197960435530,76561197970323416,friend,Wed Apr 28 21:49:30 2010
76561197960435530,76561197970389205,friend,
76561197960435530,76561197970404169,friend,Wed Dec  9 01:42:30 2009
76561197960435530,76561197970496388,friend,
76561197960435530,76561197970498549,friend,Sat May 14 15:09:49 2011
76561197960435530,76561197970522250,friend,Wed Sep  9 00:09:47 2009
76561197960435530,76561197970545345,friend,
76561197960435530,76561197970553411,friend,Mon Aug  2 23:21:02 2010
76561197960435530,76561197970565175,friend,
76561197960435530,76561197970572119,friend,Wed Dec 30 23:33:44 2009
76561197960435530,76561197970610844,friend,
76561197960435530,76561197970667119,friend,Sat Mar 10 23:32:17 2012
76561197960435530,76561197970792670,friend,Wed Sep  9 00:09:54 2009
76561197960435530,76561197970822785,friend,
76561197960435530,76561197970953718,friend,
76561197960435530,76561197970968871,friend,Sun Nov  2 13:56:51 2014
76561197960435530,76561197971025345,friend,Thu Mar 29 23:55:47 2012
76561197960435530,76561197971042536,friend,
76561197960435530,76561197971057511,friend,Mon Aug  8 00:47:54 2011
76561197960435530,76561197971085582,friend,Fri Dec 28 13:17:44 2012
76561197960435530,76561197971124276,friend,
76561197960435530,76561197971128200,friend,Thu Oct  8 00:08:07 2009
76561197960435530,76561197971238476,friend,Wed Aug  5 00:39:30 2009
76561197960435530,76561197971332340,friend,Fri Sep 14 23:17:20 2012
76561197960435530,76561197971400048,friend,Sun May 13 03:26:06 2012
76561197960435530,76561197971521071,friend,Mon Feb 15 05:59:51 2016
76561197960435530,76561197971596380,friend,Wed May 13 23:45:03 2009
76561197960435530,76561197971951755,friend,
76561197960435530,76561197972345559,friend,Fri Jul  9 00:44:10 2010
76561197960435530,76561197972382063,friend,Tue Mar  9 03:17:04 2010
76561197960435530,76561197972495328,friend,Wed Oct  2 00:56:09 2013
76561197960435530,76561197972790745,friend,Tue Jun  9 02:22:55 2009
76561197960435530,76561197972799883,friend,Wed Sep  5 21:58:55 2012
76561197960435530,76561197973185198,friend,Mon Nov  2 01:13:15 2009
76561197960435530,76561197973639804,friend,
76561197960435530,76561197973935677,friend,Fri Jan  8 23:33:20 2010
76561197960435530,76561197974284838,friend,Mon Jan 24 00:07:27 2011
76561197960435530,76561197974616601,friend,Tue Oct 25 23:30:42 2011
76561197960435530,76561197974777179,friend,Tue Nov 16 02:42:22 2010
76561197960435530,76561197974807412,friend,
76561197960435530,76561197975029215,friend,
76561197960435530,76561197975724041,friend,Fri May 25 00:29:21 2012
76561197960435530,76561197975914763,friend,
76561197960435530,76561197976244853,friend,Tue Mar  8 00:11:35 2011
76561197960435530,76561197977035150,friend,
76561197960435530,76561197977450070,friend,Tue Sep 11 02:03:14 2012
76561197960435530,76561197978181900,friend,Sun Feb  8 01:23:19 2009
76561197960435530,76561197978236369,friend,Tue Nov 17 02:24:02 2009
76561197960435530,76561197978266558,friend,Mon Dec 15 22:12:22 2014
76561197960435530,76561197978703046,friend,
76561197960435530,76561197979187556,friend,
76561197960435530,76561197979435127,friend,Sat Mar  7 20:11:31 2009
76561197960435530,76561197979480245,friend,Wed May 11 00:29:54 2011
76561197960435530,76561197979536477,friend,Tue Jun 30 01:37:43 2009
76561197960435530,76561197980388693,friend,Wed Jun  2 23:41:04 2010
76561197960435530,76561197981291930,friend,Mon Apr  9 23:43:36 2012
76561197960435530,76561197982240193,friend,
76561197960435530,76561197982656766,friend,Mon Nov  2 01:14:30 2009
76561197960435530,76561197982998220,friend,Wed Sep 21 15:13:43 2011
76561197960435530,76561197983491300,friend,
76561197960435530,76561197983540634,friend,Mon Sep 17 11:41:29 2012
76561197960435530,76561197983600912,friend,Fri Oct 19 23:35:27 2012
76561197960435530,76561197984212648,friend,Sat Apr 21 01:29:06 2018
76561197960435530,76561197984476370,friend,Fri Sep  4 00:19:29 2009
76561197960435530,76561197984734596,friend,Tue Jul 28 00:22:13 2009
76561197960435530,76561197984834077,friend,Tue Nov 16 02:43:09 2010
76561197960435530,76561197985244272,friend,
76561197960435530,76561197985279592,friend,
76561197960435530,76561197985536977,friend,Fri Oct 19 23:34:46 2012
76561197960435530,76561197985866466,friend,Tue Nov 16 02:42:58 2010
76561197960435530,76561197986695451,friend,Fri Jun 12 02:37:50 2009
76561197960435530,76561197987101307,friend,Thu May 27 02:06:44 2010
76561197960435530,76561197987393094,friend,Wed Feb 23 23:44:04 2011
76561197960435530,76561197988042654,friend,Sat Feb  6 14:56:30 2010
76561197960435530,76561197988052879,friend,Tue Jul 16 00:32:58 2013
76561197960435530,76561197988197730,friend,Mon Jun 14 00:01:25 2010
76561197960435530,76561197988221501,friend,Thu Sep  2 14:21:01 2010
76561197960435530,76561197989222171,friend,Wed Aug 21 23:52:45 2013
76561197960435530,76561197989701891,friend,Sat Sep 24 00:10:17 2011
76561197960435530,76561197989870485,friend,
76561197960435530,76561197990525201,friend,Wed Sep  9 00:10:13 2009
76561197960435530,76561197990739280,friend,Wed Sep 15 00:33:08 2010
76561197960435530,76561197990859622,friend,
76561197960435530,76561197990949369,friend,Mon Dec 29 02:50:20 2008
76561197960435530,76561197991390878,friend,
76561197960435530,76561197991518342,friend,Fri Sep 14 01:40:19 2012
76561197960435530,76561197991751968,friend,
76561197960435530,76561197991840415,friend,Mon Nov 21 00:11:26 2016
76561197960435530,76561197991885937,friend,
76561197960435530,76561197991899002,friend,Sun Oct  3 01:03:34 2010
76561197960435530,76561197992107512,friend,
76561197960435530,76561197992152522,friend,Tue Jul 27 23:32:06 2010
76561197960435530,76561197992219796,friend,Thu Jul 28 00:42:26 2011
76561197960435530,76561197992295963,friend,Fri Jul  9 00:44:18 2010
76561197960435530,76561197992459511,friend,Sat Dec  4 14:35:32 2010
76561197960435530,76561197992508821,friend,
76561197960435530,76561197992577188,friend,
76561197960435530,76561197992594628,friend,
76561197960435530,76561197992720132,friend,
76561197960435530,76561197992765734,friend,Fri May  8 23:41:08 2009
76561197960435530,76561197992927490,friend,
76561197960435530,76561197993345099,friend,
76561197960435530,76561197993426087,friend,Mon Jan 10 02:02:02 2011
76561197960435530,76561197993552969,friend,Sun Oct  3 01:01:48 2010
76561197960435530,76561197993620247,friend,Fri Jan  8 23:34:06 2010
76561197960435530,76561197993630232,friend,Sat Aug  1 13:39:58 2009
76561197960435530,76561197993751379,friend,Thu Sep  2 23:59:09 2010
76561197960435530,76561197994206792,friend,Sun Nov 18 00:23:27 2012
76561197960435530,76561197994223774,friend,Thu Mar 10 00:14:57 2011
76561197960435530,76561197994242870,friend,Mon Sep 17 23:10:24 2012
76561197960435530,76561197994359533,friend,Fri Jun 11 00:31:43 2010
76561197960435530,76561197994365894,friend,Sun Jan  9 15:34:38 2011
76561197960435530,76561197994871291,friend,Sun Jun 30 04:47:35 2013
76561197960435530,76561197994894204,friend,Mon Apr 23 01:32:20 2012
76561197960435530,76561197995035454,friend,Fri Feb 24 03:27:47 2012
76561197960435530,76561197995390971,friend,Thu Feb  3 01:42:59 2011
76561197960435530,76561197995557785,friend,Fri Dec 28 13:17:59 2012
76561197960435530,76561197995620521,friend,Wed May 13 23:46:21 2009
76561197960435530,76561197996055531,friend,Tue Jan 22 23:56:14 2013
76561197960435530,76561197996226415,friend,Tue Nov 13 06:06:26 2012
76561197960435530,76561197996599994,friend,Wed Feb 23 23:46:08 2011
76561197960435530,76561197997296694,friend,Fri Aug 21 01:27:02 2009
76561197960435530,76561197997374662,friend,Wed May 19 01:17:59 2010
76561197960435530,76561197997412731,friend,Wed Sep  5 21:59:07 2012
76561197960435530,76561197997491987,friend,Sat Sep 12 00:11:58 2009
76561197960435530,76561197997640852,friend,Fri Sep 18 02:33:16 2009
76561197960435530,76561197997728531,friend,Wed Sep  5 01:38:38 2012
76561197960435530,76561197998048607,friend,Fri Sep  3 00:04:29 2010
76561197960435530,76561197998113407,friend,Tue Sep 28 00:54:00 2010
76561197960435530,76561197998287308,friend,Tue Sep 20 02:16:48 2011
76561197960435530,76561197998342021,friend,Wed Oct  6 00:13:15 2010
