appid,appname,ownerid,playtime_2weeks,playtime_forever
10,Counter-Strike,76561197960274006,,0
20,Team Fortress Classic,76561197960274006,,0
30,Day of Defeat,76561197960274006,,0
40,Deathmatch Classic,76561197960274006,,0
50,Half-Life: Opposing Force,76561197960274006,,0
60,Ricochet,76561197960274006,,0
70,Half-Life,76561197960274006,,0
130,Half-Life: Blue Shift,76561197960274006,,0
80,Counter-Strike: Condition Zero,76561197960274006,,0
100,Counter-Strike: Condition Zero,76561197960274006,,0
220,Half-Life 2,76561197960274006,,0
240,Counter-Strike: Source,76561197960274006,,21
280,Half-Life: Source,76561197960274006,,0
300,Day of Defeat: Source,76561197960274006,,0
320,Half-Life 2: Deathmatch,76561197960274006,,0
340,Half-Life 2: Lost Coast,76561197960274006,,0
360,Half-Life Deathmatch: Source,76561197960274006,,0
380,Half-Life 2: Episode One,76561197960274006,,0
400,Portal,76561197960274006,,0
420,Half-Life 2: Episode Two,76561197960274006,,2
500,Left 4 Dead,76561197960274006,,330
550,Left 4 Dead 2,76561197960274006,,862
620,Portal 2,76561197960274006,,32
730,Counter-Strike: Global Offensive,76561197960274006,,233
10,Counter-Strike,76561197960279106,,14
20,Team Fortress Classic,76561197960279106,,0
30,Day of Defeat,76561197960279106,,0
40,Deathmatch Classic,76561197960279106,,0
50,Half-Life: Opposing Force,76561197960279106,,0
60,Ricochet,76561197960279106,,0
70,Half-Life,76561197960279106,,0
130,Half-Life: Blue Shift,76561197960279106,,0
80,Counter-Strike: Condition Zero,76561197960279106,,0
100,Counter-Strike: Condition Zero,76561197960279106,,0
220,Half-Life 2,76561197960279106,,88
240,Counter-Strike: Source,76561197960279106,,5
280,Half-Life: Source,76561197960279106,,0
300,Day of Defeat: Source,76561197960279106,,151
320,Half-Life 2: Deathmatch,76561197960279106,,0
340,Half-Life 2: Lost Coast,76561197960279106,,0
360,Half-Life Deathmatch: Source,76561197960279106,,0
380,Half-Life 2: Episode One,76561197960279106,,0
400,Portal,76561197960279106,,346
420,Half-Life 2: Episode Two,76561197960279106,,0
500,Left 4 Dead,76561197960279106,,4928
