steamid,personaname,profileurl,time_created,country,state,city
76561197960435530,Robin,https://steamcommunity.com/id/robinwalker/,Fri Sep 12 18:59:49 2003,United States,Washington,Bellevue
76561197960265731,EJ,https://steamcommunity.com/id/erikj/,Wed Sep 10 07:14:46 2003,United States,,
76561197960265738,Gregori,https://steamcommunity.com/id/greg/,Wed Sep 10 18:23:18 2003,United States,Washington,Seattle
76561197960265740,johnc,https://steamcommunity.com/id/johnc/,,,,
76561197960265747,LYNCHO,https://steamcommunity.com/id/scottlynch/,Wed Sep 10 20:49:05 2003,United States,Washington,
76561197960265749,EricS,https://steamcommunity.com/id/paintrain/,Wed Sep 10 21:29:16 2003,United States,Washington,Bellevue
76561197960268093,Voogru,https://steamcommunity.com/id/voogru/,Thu Sep 11 14:38:42 2003,United States,,
76561197960269040,driller,https://steamcommunity.com/id/driller/,,,,
76561197960270258,vuduuu,https://steamcommunity.com/id/vuduchild/,Fri Sep 12 02:43:30 2003,Australia,,
76561197960270457,DaAaVe,https://steamcommunity.com/id/johnsto/,Fri Sep 12 02:45:31 2003,United Kingdom (Great Britain),Greater London,
76561197960271661,OneLetter,https://steamcommunity.com/id/oneletter/,,,,
76561197960273963,KoolAidMan,https://steamcommunity.com/id/KoolAidMan/,Fri Sep 12 03:26:00 2003,United States,California,Los Angeles
76561197960274006,Don Juan Leon,https://steamcommunity.com/id/DonJuanLeon/,Fri Sep 12 03:25:20 2003,United States,Texas,San Antonio
76561197960274521,eMg enoryt *iBUYPOWER,https://steamcommunity.com/id/enoryt/,Fri Sep 12 03:31:04 2003,United States,California,
76561197960279106,ThriKreen,https://steamcommunity.com/id/thrikreen/,Fri Sep 12 04:06:22 2003,Canada,Ontario,Toronto
76561197960282696,Nexty,https://steamcommunity.com/id/nextwish/,,,,
76561197960282709,Dospac,https://steamcommunity.com/id/dospac/,Fri Sep 12 04:31:20 2003,United States,California,San Jose
76561197960299622,VomitGod,https://steamcommunity.com/id/vomitgod/,,,,
76561197960304647,sneak,https://steamcommunity.com/id/sneakycanuck/,Fri Sep 12 06:38:43 2003,Canada,Ontario,Toronto
76561197960317684,leogeo2,https://steamcommunity.com/id/leogeo2/,Fri Sep 12 07:43:31 2003,United States,New Jersey,
76561197960323774,Buck Sexington,https://steamcommunity.com/id/bucksexington/,,,,
76561197960333589,jturbonius,https://steamcommunity.com/id/lakren/,Fri Sep 12 08:51:12 2003,,,
76561197960359661,CptTrips,https://steamcommunity.com/id/cpttrips/,Fri Sep 12 10:36:36 2003,,,
76561197960389850,Mockery,https://steamcommunity.com/id/Mockery/,,,,
76561197960392503,[V101]lplasma,https://steamcommunity.com/profiles/76561197960392503/,,,,
76561197960411603,LD,https://steamcommunity.com/id/lddota/,,,,
76561197960423941,XPiñata,https://steamcommunity.com/id/ido/,,,,
76561197960434622,al,https://steamcommunity.com/id/afarnsworth/,Fri Sep 12 18:53:26 2003,United States,Washington,Bellevue
